Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
99,30,10,1,0,0,0.9,5,2,0.9533333333333334
100,30,10,3,0,0,0.05,1,2,0.9566666666666667
101,30,10,3,0,0,0.05,2,2,0.96
102,30,10,3,0,0,0.05,5,2,0.9566666666666667
103,30,10,3,0,0,0.5,1,2,0.9466666666666667
104,30,10,3,0,0,0.5,2,2,0.9466666666666667
105,30,10,3,0,0,0.5,5,2,0.93
106,30,10,3,0,0,0.9,1,2,0.9533333333333334
107,30,10,3,0,0,0.9,2,2,0.9333333333333333
108,30,10,3,0,0,0.9,5,2,0.9533333333333334
109,30,10,4,0,0,0.05,1,2,0.9633333333333334
110,30,10,4,0,0,0.05,2,2,0.95
111,30,10,4,0,0,0.05,5,2,0.9366666666666666
112,30,10,4,0,0,0.5,1,2,0.9633333333333334
113,30,10,4,0,0,0.5,2,2,0.9433333333333334
114,30,10,4,0,0,0.5,5,2,0.94
115,30,10,4,0,0,0.9,1,2,0.96
116,30,10,4,0,0,0.9,2,2,0.9433333333333334
117,30,10,4,0,0,0.9,5,2,0.9433333333333334
118,30,10,10,0,0,0.05,1,2,1.0
119,30,10,10,0,0,0.05,2,2,1.0
120,30,10,10,0,0,0.05,5,2,1.0
121,30,10,10,0,0,0.5,1,2,1.0
122,30,10,10,0,0,0.5,2,2,1.0
123,30,10,10,0,0,0.5,5,2,1.0
124,30,10,10,0,0,0.9,1,2,1.0
125,30,10,10,0,0,0.9,2,2,1.0
126,30,10,10,0,0,0.9,5,2,1.0
127,30,10,15,0,0,0.05,1,2,1.0
128,30,10,15,0,0,0.05,2,2,1.0
129,30,10,15,0,0,0.05,5,2,1.0
130,30,10,15,0,0,0.5,1,2,1.0
131,30,10,15,0,0,0.5,2,2,1.0
132,30,10,15,0,0,0.5,5,2,1.0
133,30,10,15,0,0,0.9,1,2,1.0
134,30,10,15,0,0,0.9,2,2,1.0
135,30,10,15,0,0,0.9,5,2,1.0
136,30,15,1,0,0,0.05,1,2,0.96
137,30,15,1,0,0,0.05,2,2,0.9466666666666667
138,30,15,1,0,0,0.05,5,2,0.9566666666666667
139,30,15,1,0,0,0.5,1,2,0.9466666666666667
140,30,15,1,0,0,0.5,2,2,0.9533333333333334
141,30,15,1,0,0,0.5,5,2,0.9533333333333334
142,30,15,1,0,0,0.9,1,2,0.9666666666666667
143,30,15,1,0,0,0.9,2,2,0.9366666666666666
144,30,15,1,0,0,0.9,5,2,0.9533333333333334
145,30,15,3,0,0,0.05,1,2,0.95
146,30,15,3,0,0,0.05,2,2,0.9466666666666667
147,30,15,3,0,0,0.05,5,2,0.9466666666666667
148,30,15,3,0,0,0.5,1,2,0.93
149,30,15,3,0,0,0.5,2,2,0.9333333333333333
150,30,15,3,0,0,0.5,5,2,0.9366666666666666
151,30,15,3,0,0,0.9,1,2,0.95
152,30,15,3,0,0,0.9,2,2,0.9533333333333334
153,30,15,3,0,0,0.9,5,2,0.9533333333333334
154,30,15,4,0,0,0.05,1,2,0.95
155,30,15,4,0,0,0.05,2,2,0.9733333333333334
156,30,15,4,0,0,0.05,5,2,0.9433333333333334
157,30,15,4,0,0,0.5,1,2,0.96
158,30,15,4,0,0,0.5,2,2,0.9466666666666667
159,30,15,4,0,0,0.5,5,2,0.9366666666666666
160,30,15,4,0,0,0.9,1,2,0.9566666666666667
161,30,15,4,0,0,0.9,2,2,0.9333333333333333
162,30,15,4,0,0,0.9,5,2,0.9433333333333334
163,30,15,10,0,0,0.05,1,2,1.0
164,30,15,10,0,0,0.05,2,2,1.0
165,30,15,10,0,0,0.05,5,2,1.0
166,30,15,10,0,0,0.5,1,2,1.0
167,30,15,10,0,0,0.5,2,2,1.0
168,30,15,10,0,0,0.5,5,2,1.0
169,30,15,10,0,0,0.9,1,2,1.0
170,30,15,10,0,0,0.9,2,2,1.0
171,30,15,10,0,0,0.9,5,2,1.0
172,30,15,15,0,0,0.05,1,2,0.0
173,30,15,15,0,0,0.05,2,2,0.0
174,30,15,15,0,0,0.05,5,2,0.0
175,30,15,15,0,0,0.5,1,2,0.0
176,30,15,15,0,0,0.5,2,2,0.0
177,30,15,15,0,0,0.5,5,2,0.0
178,30,15,15,0,0,0.9,1,2,0.0
179,30,15,15,0,0,0.9,2,2,0.0
180,30,15,15,0,0,0.9,5,2,0.0
181,100,3,1,0,0,0.05,1,2,0.9366666666666666
182,100,3,1,0,0,0.05,2,2,0.92
183,100,3,1,0,0,0.05,5,2,0.9666666666666667
184,100,3,1,0,0,0.5,1,2,0.9533333333333334
185,100,3,1,0,0,0.5,2,2,0.9566666666666667
186,100,3,1,0,0,0.5,5,2,0.98
187,100,3,1,0,0,0.9,1,2,0.9433333333333334
188,100,3,1,0,0,0.9,2,2,0.9433333333333334
189,100,3,1,0,0,0.9,5,2,0.94
190,100,3,3,0,0,0.05,1,2,0.97
191,100,3,3,0,0,0.05,2,2,0.93
192,100,3,3,0,0,0.05,5,2,0.9533333333333334
193,100,3,3,0,0,0.5,1,2,0.9566666666666667
194,100,3,3,0,0,0.5,2,2,0.96
195,100,3,3,0,0,0.5,5,2,0.9433333333333334
196,100,3,3,0,0,0.9,1,2,0.9566666666666667
197,100,3,3,0,0,0.9,2,2,0.97
198,100,3,3,0,0,0.9,5,2,0.95
199,100,3,4,0,0,0.05,1,2,0.96
200,100,3,4,0,0,0.05,2,2,0.92
201,100,3,4,0,0,0.05,5,2,0.9466666666666667
202,100,3,4,0,0,0.5,1,2,0.94
203,100,3,4,0,0,0.5,2,2,0.9466666666666667
204,100,3,4,0,0,0.5,5,2,0.9633333333333334
205,100,3,4,0,0,0.9,1,2,0.9166666666666666
206,100,3,4,0,0,0.9,2,2,0.95
207,100,3,4,0,0,0.9,5,2,0.9533333333333334
208,100,3,10,0,0,0.05,1,2,0.9866666666666667
209,100,3,10,0,0,0.05,2,2,1.0
210,100,3,10,0,0,0.05,5,2,0.9633333333333334
211,100,3,10,0,0,0.5,1,2,0.9833333333333333
212,100,3,10,0,0,0.5,2,2,0.9933333333333333
213,100,3,10,0,0,0.5,5,2,0.9966666666666667
214,100,3,10,0,0,0.9,1,2,0.9933333333333333
215,100,3,10,0,0,0.9,2,2,0.9933333333333333
216,100,3,10,0,0,0.9,5,2,1.0
217,100,3,15,0,0,0.05,1,2,1.0
218,100,3,15,0,0,0.05,2,2,1.0
219,100,3,15,0,0,0.05,5,2,1.0
220,100,3,15,0,0,0.5,1,2,1.0
221,100,3,15,0,0,0.5,2,2,1.0
