Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
98,500,5,2,5,1,0.5,5,2,0.056666666666666664
99,500,5,2,5,2,0.5,5,2,0.07666666666666666
100,500,5,2,5,0,0.9,0,2,0.05
101,500,5,2,5,1,0.9,0,2,0.07
102,500,5,2,5,2,0.9,0,2,0.07
103,500,5,2,5,0,0.9,2,2,0.03333333333333333
104,500,5,2,5,1,0.9,2,2,0.06333333333333334
105,500,5,2,5,2,0.9,2,2,0.07333333333333333
106,500,5,2,5,0,0.9,5,2,0.06
107,500,5,2,5,1,0.9,5,2,0.08
108,500,5,2,5,2,0.9,5,2,0.07
109,500,5,3,0,0,0.0,0,1,0.05333333333333334
110,500,5,3,0,1,0.0,0,2,0.33666666666666667
111,500,5,3,0,2,0.0,0,2,0.2633333333333333
112,500,5,3,0,0,0.0,2,1,0.043333333333333335
113,500,5,3,0,1,0.0,2,2,0.3466666666666667
114,500,5,3,0,2,0.0,2,2,0.26666666666666666
115,500,5,3,0,0,0.0,5,1,0.03666666666666667
116,500,5,3,0,1,0.0,5,2,0.4666666666666667
117,500,5,3,0,2,0.0,5,2,0.31
118,500,5,3,0,0,0.5,0,1,0.04666666666666667
119,500,5,3,0,1,0.5,0,2,0.37
120,500,5,3,0,2,0.5,0,2,0.29
121,500,5,3,0,0,0.5,2,2,0.93
122,500,5,3,0,1,0.5,2,2,0.38666666666666666
123,500,5,3,0,2,0.5,2,2,0.28
124,500,5,3,0,0,0.5,5,2,0.9466666666666667
125,500,5,3,0,1,0.5,5,2,0.41333333333333333
126,500,5,3,0,2,0.5,5,2,0.3
127,500,5,3,0,0,0.9,0,1,0.06666666666666667
128,500,5,3,0,1,0.9,0,2,0.37666666666666665
129,500,5,3,0,2,0.9,0,2,0.25666666666666665
130,500,5,3,0,0,0.9,2,2,0.9366666666666666
131,500,5,3,0,1,0.9,2,2,0.34
132,500,5,3,0,2,0.9,2,2,0.23333333333333334
133,500,5,3,0,0,0.9,5,2,0.9433333333333334
134,500,5,3,0,1,0.9,5,2,0.37333333333333335
135,500,5,3,0,2,0.9,5,2,0.29
136,500,5,3,1,0,0.0,0,2,0.04
137,500,5,3,1,1,0.0,0,2,0.14
138,500,5,3,1,2,0.0,0,2,0.23333333333333334
139,500,5,3,1,0,0.0,2,2,0.09666666666666666
140,500,5,3,1,1,0.0,2,2,0.22666666666666666
141,500,5,3,1,2,0.0,2,2,0.18333333333333332
142,500,5,3,1,0,0.0,5,2,0.23333333333333334
143,500,5,3,1,1,0.0,5,2,0.24666666666666667
144,500,5,3,1,2,0.0,5,2,0.2966666666666667
145,500,5,3,1,0,0.5,0,2,0.056666666666666664
146,500,5,3,1,1,0.5,0,2,0.15
147,500,5,3,1,2,0.5,0,2,0.18333333333333332
148,500,5,3,1,0,0.5,2,2,0.08
149,500,5,3,1,1,0.5,2,2,0.19333333333333333
150,500,5,3,1,2,0.5,2,2,0.21666666666666667
151,500,5,3,1,0,0.5,5,2,0.21
152,500,5,3,1,1,0.5,5,2,0.24
153,500,5,3,1,2,0.5,5,2,0.28
154,500,5,3,1,0,0.9,0,2,0.056666666666666664
155,500,5,3,1,1,0.9,0,2,0.14
156,500,5,3,1,2,0.9,0,2,0.16
157,500,5,3,1,0,0.9,2,2,0.023333333333333334
158,500,5,3,1,1,0.9,2,2,0.20666666666666667
159,500,5,3,1,2,0.9,2,2,0.17
160,500,5,3,1,0,0.9,5,2,0.08666666666666667
161,500,5,3,1,1,0.9,5,2,0.17666666666666667
162,500,5,3,1,2,0.9,5,2,0.23333333333333334
163,500,5,3,2,0,0.0,0,2,0.006666666666666667
164,500,5,3,2,1,0.0,0,2,0.07666666666666666
165,500,5,3,2,2,0.0,0,2,0.16
166,500,5,3,2,0,0.0,2,2,0.01
167,500,5,3,2,1,0.0,2,2,0.07666666666666666
168,500,5,3,2,2,0.0,2,2,0.15
169,500,5,3,2,0,0.0,5,2,0.06
170,500,5,3,2,1,0.0,5,2,0.13
171,500,5,3,2,2,0.0,5,2,0.15333333333333332
172,500,5,3,2,0,0.5,0,2,0.0
173,500,5,3,2,1,0.5,0,2,0.07
174,500,5,3,2,2,0.5,0,2,0.11333333333333333
175,500,5,3,2,0,0.5,2,2,0.006666666666666667
176,500,5,3,2,1,0.5,2,2,0.06666666666666667
177,500,5,3,2,2,0.5,2,2,0.16
178,500,5,3,2,0,0.5,5,2,0.043333333333333335
179,500,5,3,2,1,0.5,5,2,0.11333333333333333
180,500,5,3,2,2,0.5,5,2,0.17
181,500,5,3,2,0,0.9,0,2,0.0033333333333333335
182,500,5,3,2,1,0.9,0,2,0.08333333333333333
183,500,5,3,2,2,0.9,0,2,0.14
184,500,5,3,2,0,0.9,2,2,0.0033333333333333335
185,500,5,3,2,1,0.9,2,2,0.09
186,500,5,3,2,2,0.9,2,2,0.14333333333333334
187,500,5,3,2,0,0.9,5,2,0.0033333333333333335
188,500,5,3,2,1,0.9,5,2,0.09333333333333334
189,500,5,3,2,2,0.9,5,2,0.15666666666666668
190,500,5,3,5,0,0.0,0,2,0.05
191,500,5,3,5,1,0.0,0,2,0.05333333333333334
192,500,5,3,5,2,0.0,0,2,0.05333333333333334
193,500,5,3,5,0,0.0,2,2,0.06
194,500,5,3,5,1,0.0,2,2,0.07333333333333333
195,500,5,3,5,2,0.0,2,2,0.06333333333333334
196,500,5,3,5,0,0.0,5,2,0.08
197,500,5,3,5,1,0.0,5,2,0.056666666666666664
198,500,5,3,5,2,0.0,5,2,0.07
199,500,5,3,5,0,0.5,0,2,0.03666666666666667
200,500,5,3,5,1,0.5,0,2,0.056666666666666664
201,500,5,3,5,2,0.5,0,2,0.06666666666666667
202,500,5,3,5,0,0.5,2,2,0.06666666666666667
203,500,5,3,5,1,0.5,2,2,0.04
204,500,5,3,5,2,0.5,2,2,0.043333333333333335
205,500,5,3,5,0,0.5,5,2,0.04666666666666667
206,500,5,3,5,1,0.5,5,2,0.06666666666666667
207,500,5,3,5,2,0.5,5,2,0.07333333333333333
208,500,5,3,5,0,0.9,0,2,0.05
209,500,5,3,5,1,0.9,0,2,0.05333333333333334
210,500,5,3,5,2,0.9,0,2,0.09666666666666666
211,500,5,3,5,0,0.9,2,2,0.06
212,500,5,3,5,1,0.9,2,2,0.07
213,500,5,3,5,2,0.9,2,2,0.06333333333333334
214,500,5,3,5,0,0.9,5,2,0.05333333333333334
215,500,5,3,5,1,0.9,5,2,0.05
216,500,5,3,5,2,0.9,5,2,0.08666666666666667
217,500,5,4,0,0,0.0,0,1,0.03666666666666667
218,500,5,4,0,1,0.0,0,2,0.3466666666666667
219,500,5,4,0,2,0.0,0,2,0.24
220,500,5,4,0,0,0.0,2,1,0.05
221,500,5,4,0,1,0.0,2,2,0.32
222,500,5,4,0,2,0.0,2,2,0.28
223,500,5,4,0,0,0.0,5,1,0.06333333333333334
224,500,5,4,0,1,0.0,5,2,0.45
225,500,5,4,0,2,0.0,5,2,0.35333333333333333
226,500,5,4,0,0,0.5,0,1,0.05333333333333334
227,500,5,4,0,1,0.5,0,2,0.32
228,500,5,4,0,2,0.5,0,2,0.27
229,500,5,4,0,0,0.5,2,2,0.9366666666666666
230,500,5,4,0,1,0.5,2,2,0.39
231,500,5,4,0,2,0.5,2,2,0.2633333333333333
232,500,5,4,0,0,0.5,5,2,0.9466666666666667
233,500,5,4,0,1,0.5,5,2,0.4166666666666667
234,500,5,4,0,2,0.5,5,2,0.28
235,500,5,4,0,0,0.9,0,1,0.06333333333333334
236,500,5,4,0,1,0.9,0,2,0.33666666666666667
237,500,5,4,0,2,0.9,0,2,0.3
238,500,5,4,0,0,0.9,2,2,0.9433333333333334
239,500,5,4,0,1,0.9,2,2,0.3466666666666667
240,500,5,4,0,2,0.9,2,2,0.26666666666666666
